ID,Topic,Title,Content
1,ComputerScience,draft task system item architecture tsia,execution task independent task application executes term task application definition free detail execution many project demonstrated task system t provide application parallel distributed heterogeneous adaptive dynamic realtime interactive reliable secure execution task consists item thus application defined term item item architecture ia support array routine structure item thus allowing structured application definition taking property many project support extend currying application defined type conditional item stream definition element task system item architecture tsia thus promise unprecedented level support application execution definition
2,ComputerScience,compiler operating system third advance application support,compiler operating system tsias third advance application support compiler support high level application definition programming language operating system support high level interface resource used application execution task system item architecture tsia provides application transparent reliable distributed heterogeneous adaptive dynamic realtime interactive parallel secure execution addition supporting application execution tsia also support application definition runtime support definition complementary compiletime support compiler example allows language similar fortran c deliver feature promised functional computing many tsias exist previously recognized served particular type application existing tsias project demonstrate tsias feasible application next paradigm application support tsia simplifies unifies existing computing practice research solving many outstanding problem tsia open many many new opportunity computing
3,ComputerScience,using propagation solving complex arithmetic constraint,solving system nonlinear inequality important problem conventional numerical analysis satisfactory method boxconsistency algorithm one compute cover solution set arbitrarily close approximation difficulty use propagation complex arithmetic expression box consistency computed interval arithmetic paper present theorem support simple modification propagation allows complex arithmetic expression handled efficiently version box consistency obtained way stronger interval arithmetic used
4,ComputerScience,fast data moving beyond big data mapreduce,big data may solution many looking latest rise big data method system partly due new ability technique provide partly simplicity software design partly buzzword value investor client said popularity measure suitability big data approach might best solution even applicable one many common problem namely time dependent problem whose solution may bound cached manner benefit greatly moving partly stateless flow oriented function data model paper present model substitute traditional mapshufflereduce model
5,ComputerScience,brittle system analysis,goal paper define analyze system exhibit brittle behavior behavior characterized sudden steep decline performance system approach limit tolerance due input parameter exceed specified input environmental condition exceed specified operating boundary analogy made brittle commmunication system particular material science
6,ComputerScience,example clifford algebra calculation ginac,example clifford algebra calculation us ginac http wwwginacde library includes support generic clifford algebra starting symbolic numeric calculation possible blended function ginac calculation made paper described feature ginac already available pyginac http sourceforgenetprojectspyginac due course propagate software like gnu octave http wwwoctaveorg gtybalt http wwwfisunipritstefanwgtybalthtml use ginac library backend
7,ComputerScience,euretile summary first three year activity european reference tiled experiment,summary first three year activity euretile project euretile investigates implement braininspired faulttolerant foundational innovation system architecture massively parallel tiled computer architecture corresponding programming paradigm execution target manytile hw platform manytile simulator set sw process hw tile mapping candidate generated holistic sw toolchain using combination analytic bioinspired method hardware dependent software generated providing o service maximum efficiencyminimal overhead manytile simulator collect profiling data closing loop sw tool chain finegrain parallelism inside process exploited optimized intratile compilation technique project focus level elementary tile elementary hw tile multiprocessor includes fault tolerant distributed network processor intertile communication asip accelerator furthermore euretile investigates implement innovation equipping elementary hw tile highbandwidth lowlatency brainlike intertile communication emulating level connection hierarchy namely neural column cortical area cortex develops dedicated cortical simulation benchmark dpsnnstdp distributed polychronous spiking neural net synaptic spiking time dependent plasticity euretile leverage multitile hw paradigm sw toolchain developed fetaca shape integrated project
8,ComputerScience,unix kiss case study,paper show initial philosophy used designing developing unix early time forgotten due fast practice question leitmotif microkernels though design adherent kiss principle number context switch higher monolithic counterpart running test suite verify result standard statistical validation test advocate wiser distribution shared library statistically analyzing weight shared object typical unix system showing majority shared library exist common space real evidence need finally examine unix heritage historical point view noticing habit swiftly replaced intent original author moving focus earliest purpose avoiding complication keeping system simple use maintain
9,ComputerScience,survey unix init scheme,modern operating system init initialization program launched kernel boot time run daemon typically pid init responsible spawning process scavenging zombie also responsible reboot shutdown operation document describes existing solution implement init process andor init script unixlike system solution range legacy stillinuse bsd systemv scheme recent promising scheme ubuntu apple sun independent developer goal highlight focus compare set feature
10,ComputerScience,dbos proposal datacentric operating system,current operating system complex system designed today computing environment make difficult meet scalability heterogeneity availability security challenge current cloud parallel computing environment address problem propose radically new o design based datacentric architecture operating system state represented uniformly database table operation state made via query otherwise stateless task design make easy scale evolve o without wholesystem refactoring inspect debug system state upgrade component without downtime manage decision using machine learning implement sophisticated security feature discus database o dbos improve programmability performance many today important application propose plan development dbos proof concept
11,ComputerScience,hard stuff first scheduling dependent computation dataanalytics cluster,present scheduler improves cluster utilization job completion time packing task multiresource requirement interdependency problem algorithmically hard achieve nearoptimality job dag appear production cluster large enterprise benchmark tpcds key insight carefully handling longrunning task toughtopack resource need produce goodenough schedule however subset task treat carefully clear intractable discover hence offer search procedure evaluates various possibility output preferred schedule order task online component enforces schedule order desired various job running cluster addition pack task overbooks fungible resource guarantee bounded unfairness variety desirable fairness scheme relative stateofthe art scheduler speed job
12,ComputerScience,proceeding fifth workshop development computational model computational model nature,special theme dcm colocated icalp concerned computational model nature particular emphasis computational model derived physic biology intention bring together different approach community strong foundational background proffered icalp attendee create inspirational crossboundary exchange lead innovative research specifically dcm sought contribution quantum computation information probabilistic model chemical biological bioinspired one including spatial model growth model model selfassembly contribution putting test logical algorithmic aspect computing eg continuous computing dynamical system solid state computing model also much welcomed
